"filename", "language", "Batch", "Properties", "Markdown", "Groovy", "Ini", "JSON", "Java", "YAML", "comment", "blank", "total"
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\.wpilib\wpilib_preferences.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\WPILib-License.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\build.gradle", "Groovy", 0, 0, 0, 55, 0, 0, 0, 0, 18, 21, 94
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\gradlew.bat", "Batch", 68, 0, 0, 0, 0, 0, 0, 0, 0, 22, 90
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\networktables.ini", "Ini", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\settings.gradle", "Groovy", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\simgui-ds.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 1, 93
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\simgui.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\OI.java", "Java", 0, 0, 0, 0, 0, 0, 90, 0, 31, 36, 157
