"filename", "language", "Batch", "Groovy", "JSON", "Java", "Ini", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\WaitTask.java", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestClimber.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestDrivetrain.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestIntake.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestMagazine.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestShooter.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\teleop\Drive.java", "Java", 0, 0, 0, 134, 0, 0, 0, 0, 6, 45, 185
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\Sample.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootCloseHigh.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootFarHigh.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 1, 3, 30
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDrive.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDriveThenShootCloseLow.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\debug\Test.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 5, 5, 20
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\teleop\Teleop.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\sensors\Linebreaker.java", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Climber.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 0, 24, 84
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Drivetrain.java", "Java", 0, 0, 0, 172, 0, 0, 0, 0, 9, 57, 238
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Electronics.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 3, 6, 39
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Intake.java", "Java", 0, 0, 0, 48, 0, 0, 0, 0, 0, 14, 62
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Magazine.java", "Java", 0, 0, 0, 205, 0, 0, 0, 0, 1, 53, 259
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\NavX.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 1, 8, 33
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Pneumatics.java", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Shooter.java", "Java", 0, 0, 0, 255, 0, 0, 0, 0, 6, 71, 332
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\ComputerVision.java", "Java", 0, 0, 0, 52, 0, 0, 0, 0, 3, 15, 70
